app_name,date,time,duration_minutes,category,image
LinkedIn,2025-06-19,23:05:44,4,Productivity,https://play-lh.googleusercontent.com/kMofEFLjobZy_bCuaiDogzBcUT-dz3BBbOrIEjJ-hqOabjK8ieuevGe6wlTD15QzOqw=w240-h480
Gmail,2025-06-19,23:05:07,1,Social & Communication,https://play-lh.googleusercontent.com/KSuaRLiI_FlDP8cM4MzJ23ml3og5Hxb9AapaGTMZ2GgR103mvJ3AAnoOFz1yheeQBBI=w240-h480
Kindle,2025-06-19,22:38:49,26,Productivity,https://play-lh.googleusercontent.com/48wwD4kfFSStoxwuwCIu6RdM2IeZmZKfb1ZeQkga0qEf1JKsiD-hK3Qf8qvxHL09lQ=w240-h480
Kindle,2025-06-19,21:34:41,62,Productivity,https://play-lh.googleusercontent.com/48wwD4kfFSStoxwuwCIu6RdM2IeZmZKfb1ZeQkga0qEf1JKsiD-hK3Qf8qvxHL09lQ=w240-h480
YouTube,2025-06-19,21:24:17,10,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,21:18:10,5,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
Chrome,2025-06-19,21:16:22,2,Social & Communication,https://play-lh.googleusercontent.com/QRRGW2tMZ4-FNw0XWk6WWiXHaQCGxuwM-92HrBhlA4WOd_AGmjVmQkiHyAqQjW2yByc=w240-h480
YouTube,2025-06-19,21:12:45,3,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,21:11:23,1,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,21:06:28,1,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,20:22:00,20,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
HSBC UK,2025-06-19,20:21:06,1,Productivity,https://play-lh.googleusercontent.com/3Jo20Nmi0R0ueREyzKOE5RCgWgVeqpa9hB_BT-RgwaG74OxwZ8t4kmrWG-9TSq-FZbIA=w240-h480
LinkedIn,2025-06-19,20:18:25,3,Productivity,https://play-lh.googleusercontent.com/kMofEFLjobZy_bCuaiDogzBcUT-dz3BBbOrIEjJ-hqOabjK8ieuevGe6wlTD15QzOqw=w240-h480
Kindle,2025-06-19,19:43:18,12,Productivity,https://play-lh.googleusercontent.com/48wwD4kfFSStoxwuwCIu6RdM2IeZmZKfb1ZeQkga0qEf1JKsiD-hK3Qf8qvxHL09lQ=w240-h480
YouTube,2025-06-19,19:35:51,6,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,19:23:00,10,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
YouTube,2025-06-19,19:03:14,19,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
Bluesky,2025-06-19,19:00:36,1,Social & Communication,https://play-lh.googleusercontent.com/VsgCCgW-ct98JhgVoQzndWCAaXxlP6uMwcjzINYPmeja8cCNISsJDqDFNQrF2IRq9xM=w240-h480
Gallery,2025-06-19,18:59:04,1,,
Instagram,2025-06-19,18:55:22,3,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Instagram,2025-06-19,18:54:24,1,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
YouTube,2025-06-19,18:30:30,24,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
Instagram,2025-06-19,18:27:12,2,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Instagram,2025-06-19,18:26:29,1,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Instagram,2025-06-19,18:18:37,4,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Instagram,2025-06-19,18:16:53,1,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Gmail,2025-06-19,18:13:30,1,Social & Communication,https://play-lh.googleusercontent.com/KSuaRLiI_FlDP8cM4MzJ23ml3og5Hxb9AapaGTMZ2GgR103mvJ3AAnoOFz1yheeQBBI=w240-h480
Chrome,2025-06-19,18:05:28,7,Social & Communication,https://play-lh.googleusercontent.com/QRRGW2tMZ4-FNw0XWk6WWiXHaQCGxuwM-92HrBhlA4WOd_AGmjVmQkiHyAqQjW2yByc=w240-h480
Chrome,2025-06-19,18:01:57,2,Social & Communication,https://play-lh.googleusercontent.com/QRRGW2tMZ4-FNw0XWk6WWiXHaQCGxuwM-92HrBhlA4WOd_AGmjVmQkiHyAqQjW2yByc=w240-h480
YouTube,2025-06-19,18:00:21,2,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
Strava,2025-06-19,17:35:46,1,Others,https://play-lh.googleusercontent.com/j-ZV144PlVuTVsLuBzIKyEw9CbFnmWw9ku2NJ1ef0gZJh-iiIN1nrNPmAtvgAteyDqU=w240-h480
Trainline,2025-06-19,16:55:38,2,Maps & Navigation,https://play-lh.googleusercontent.com/01DZthgdocCF5tYXt3MxpV_zTxXV1CST6U9Fbsr9SXygqw7dD42YjlZMAxUO6N4-VZI=w240-h480
WhatsApp,2025-06-19,16:39:52,1,Social & Communication,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN=w240-h480
Maps,2025-06-19,16:33:03,4,Others,https://play-lh.googleusercontent.com/Kf8WTct65hFJxBUDm5E-EpYsiDoLQiGGbnuyP6HBNax43YShXti9THPon1YKB6zPYpA=w240-h480
HSBC UK,2025-06-19,16:23:16,1,Productivity,https://play-lh.googleusercontent.com/3Jo20Nmi0R0ueREyzKOE5RCgWgVeqpa9hB_BT-RgwaG74OxwZ8t4kmrWG-9TSq-FZbIA=w240-h480
Instagram,2025-06-19,15:10:31,1,Social & Communication,https://play-lh.googleusercontent.com/VRMWkE5p3CkWhJs6nv-9ZsLAs1QOg5ob1_3qg-rckwYW7yp1fMrYZqnEFpk0IoVP4LM=w240-h480
Permission Management,2025-06-19,15:06:29,1,,
Chrome,2025-06-19,15:04:03,2,Social & Communication,https://play-lh.googleusercontent.com/QRRGW2tMZ4-FNw0XWk6WWiXHaQCGxuwM-92HrBhlA4WOd_AGmjVmQkiHyAqQjW2yByc=w240-h480
WhatsApp,2025-06-19,14:50:26,1,Social & Communication,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN=w240-h480
LinkedIn,2025-06-19,14:48:43,2,Productivity,https://play-lh.googleusercontent.com/kMofEFLjobZy_bCuaiDogzBcUT-dz3BBbOrIEjJ-hqOabjK8ieuevGe6wlTD15QzOqw=w240-h480
YouTube,2025-06-19,14:15:34,5,Movies & Video,https://play-lh.googleusercontent.com/6am0i3walYwNLc08QOOhRJttQENNGkhlKajXSERf3JnPVRQczIyxw2w3DxeMRTOSdsY=w240-h480
WhatsApp,2025-06-19,13:52:29,1,Social & Communication,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN=w240-h480
WhatsApp,2025-06-19,13:49:41,2,Social & Communication,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN=w240-h480
HSBC UK,2025-06-19,13:43:31,1,Productivity,https://play-lh.googleusercontent.com/3Jo20Nmi0R0ueREyzKOE5RCgWgVeqpa9hB_BT-RgwaG74OxwZ8t4kmrWG-9TSq-FZbIA=w240-h480
Maps,2025-06-19,13:42:33,1,Others,https://play-lh.googleusercontent.com/Kf8WTct65hFJxBUDm5E-EpYsiDoLQiGGbnuyP6HBNax43YShXti9THPon1YKB6zPYpA=w240-h480
Gmail,2025-06-19,12:08:22,1,Social & Communication,https://play-lh.googleusercontent.com/KSuaRLiI_FlDP8cM4MzJ23ml3og5Hxb9AapaGTMZ2GgR103mvJ3AAnoOFz1yheeQBBI=w240-h480
LinkedIn,2025-06-19,12:05:15,3,Productivity,https://play-lh.googleusercontent.com/kMofEFLjobZy_bCuaiDogzBcUT-dz3BBbOrIEjJ-hqOabjK8ieuevGe6wlTD15QzOqw=w240-h480
LinkedIn,2025-06-19,09:30:49,1,Productivity,https://play-lh.googleusercontent.com/kMofEFLjobZy_bCuaiDogzBcUT-dz3BBbOrIEjJ-hqOabjK8ieuevGe6wlTD15QzOqw=w240-h480
Gmail,2025-06-19,09:01:58,1,Social & Communication,https://play-lh.googleusercontent.com/KSuaRLiI_FlDP8cM4MzJ23ml3og5Hxb9AapaGTMZ2GgR103mvJ3AAnoOFz1yheeQBBI=w240-h480
WhatsApp,2025-06-19,08:47:40,1,Social & Communication,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN=w240-h480
Maps,2025-06-19,08:04:07,1,Others,https://play-lh.googleusercontent.com/Kf8WTct65hFJxBUDm5E-EpYsiDoLQiGGbnuyP6HBNax43YShXti9THPon1YKB6zPYpA=w240-h480
Trainline,2025-06-19,08:03:25,1,Maps & Navigation,https://play-lh.googleusercontent.com/01DZthgdocCF5tYXt3MxpV_zTxXV1CST6U9Fbsr9SXygqw7dD42YjlZMAxUO6N4-VZI=w240-h480
Trainline,2025-06-19,07:59:00,2,Maps & Navigation,https://play-lh.googleusercontent.com/01DZthgdocCF5tYXt3MxpV_zTxXV1CST6U9Fbsr9SXygqw7dD42YjlZMAxUO6N4-VZI=w240-h480
Trainline,2025-06-19,07:57:31,1,Maps & Navigation,https://play-lh.googleusercontent.com/01DZthgdocCF5tYXt3MxpV_zTxXV1CST6U9Fbsr9SXygqw7dD42YjlZMAxUO6N4-VZI=w240-h480
