date,start_time,end_time,total_sleep_hours
2022-12-04,00:53:30,09:08:30,7.05
2022-12-05,02:00:00,08:50:30,5.18
2022-12-06,23:16:30,08:14:30,7.88
2022-12-07,23:27:00,07:47:30,7.28
2022-12-08,23:04:30,08:08:30,7.48
2022-12-09,22:28:00,07:11:30,7.67
2022-12-10,22:55:00,07:40:00,7.1
2022-12-11,00:13:00,08:05:30,6.52
2022-12-12,00:18:00,08:40:30,6.87
2022-12-13,23:25:00,08:43:30,7.43
2022-12-14,23:26:30,08:20:30,7.55
2022-12-15,21:24:30,08:36:30,8.85
2022-12-16,22:55:30,08:56:30,8.4
2022-12-17,00:31:30,09:42:30,7.58
2022-12-18,08:35:30,04:11:30,7.82
2022-12-19,00:11:00,09:05:30,7.27
2022-12-20,23:16:00,08:54:00,7.88
2022-12-21,22:17:00,07:48:00,8.08
2022-12-22,22:18:00,09:34:30,9.12
2022-12-23,02:41:30,08:18:00,4.63
2022-12-24,00:06:30,08:45:00,7.58
2022-12-25,00:08:30,10:14:30,8.67
2022-12-26,02:44:30,10:21:00,6.62
2022-12-29,22:29:30,08:35:00,8.2
2022-12-30,03:12:00,11:20:00,6.82
2023-01-01,09:51:30,04:48:30,13.4
2023-01-02,01:17:00,09:33:00,6.6
2023-01-03,03:05:30,01:39:00,6.81
2023-01-04,23:55:30,09:22:30,8.0
2023-01-05,23:39:30,08:28:30,7.47
2023-01-06,23:11:00,08:39:00,8.28
2023-01-07,00:09:00,06:30:00,5.32
2023-01-08,00:05:30,08:40:30,7.55
2023-01-10,00:55:30,10:18:30,7.88
2023-01-11,01:09:00,10:05:00,7.5
2023-01-12,23:28:00,07:01:30,6.13
2023-01-13,23:07:00,08:07:00,7.63
2023-01-14,23:00:30,07:29:30,7.17
2023-01-15,22:05:00,08:01:30,7.72
2023-01-16,22:15:00,05:36:30,5.93
2023-01-20,21:06:00,05:44:30,7.42
2023-01-23,22:36:30,09:02:30,8.73
2023-01-24,21:52:30,06:54:00,7.73
2023-01-26,20:36:00,06:53:30,8.75
2023-01-27,21:06:30,04:50:00,6.43
2023-01-29,04:43:00,02:39:30,7.45
2023-01-30,01:05:30,07:45:00,5.52
2023-01-31,20:11:00,06:35:30,18.3
2023-02-04,00:06:30,07:50:00,6.78
2023-02-05,00:35:00,06:46:00,5.48
2023-02-07,00:10:00,08:05:30,6.7
2023-02-08,22:51:30,08:39:30,8.22
2023-02-12,00:32:00,09:36:30,7.67
2023-02-13,02:09:00,08:12:30,4.98
2023-02-15,23:58:00,07:29:00,6.37
2023-02-16,13:26:30,14:48:30,1.37
2023-02-17,21:54:30,08:12:00,8.8
2023-02-20,00:14:30,08:04:00,6.65
2023-02-21,23:00:00,07:41:30,7.47
2023-02-22,23:50:00,08:34:30,7.28
2023-02-23,22:30:00,07:08:30,7.18
2023-02-24,22:55:30,07:23:00,6.97
2023-02-25,21:53:30,07:18:00,8.27
2023-03-09,04:25:30,03:09:00,6.27
2023-03-12,21:05:00,09:11:30,10.38
2023-03-13,23:40:30,07:29:30,6.75
2023-03-20,22:57:00,07:04:30,6.93
2023-03-21,23:04:00,06:56:30,7.0
2023-06-14,23:55:00,08:01:30,6.83
2023-06-15,20:55:00,22:06:30,1.18
2023-06-20,22:05:00,07:25:30,8.18
2023-06-21,01:31:30,09:53:30,7.35
2023-06-22,23:16:00,10:14:00,10.13
2023-06-23,02:27:00,08:59:30,6.17
2023-06-24,23:01:30,09:26:00,9.85
2023-06-25,16:27:00,08:58:30,15.08
2023-06-29,20:28:30,05:06:30,7.67
2023-06-30,08:48:00,05:31:30,15.44
2023-07-01,03:40:30,10:02:30,5.07
2023-07-02,23:55:00,06:37:30,5.65
2023-07-03,00:45:00,08:59:00,6.62
2023-07-04,09:54:30,08:30:00,9.3
2023-07-05,17:25:00,19:32:00,2.02
2023-07-06,19:40:30,07:40:30,8.14
2023-07-07,02:39:00,09:36:00,5.58
2023-07-08,02:58:00,07:51:00,4.08
2023-07-09,23:56:00,07:48:30,6.55
2023-07-10,01:01:30,07:55:30,5.9
2023-07-11,00:05:00,06:24:30,5.25
2023-07-12,23:20:00,04:21:30,4.4
2023-07-13,23:18:30,07:02:00,6.53
2023-07-15,21:56:00,05:21:30,6.13
2023-07-16,01:19:30,09:47:30,7.27
2023-07-18,20:00:00,03:31:00,7.13
2023-07-20,09:01:30,06:54:00,8.6
2023-07-21,00:21:30,07:37:30,6.02
2023-07-22,07:19:00,04:29:00,8.44
2023-07-25,16:20:30,08:06:30,9.05
2023-07-26,19:41:30,08:00:30,7.2
2023-07-27,05:19:30,10:52:00,4.48
2023-07-28,15:34:00,06:36:30,6.75
2023-07-29,15:50:30,05:58:30,6.93
2023-07-30,01:49:00,07:39:00,9.84
2023-07-31,22:00:30,06:56:00,7.73
2023-08-01,09:06:00,05:32:00,7.2
2023-08-02,02:46:00,08:35:30,4.93
2023-08-03,23:58:30,08:32:30,7.17
2023-08-04,00:25:30,08:57:30,7.15
