date,value
2022-12-03,1254.0
2022-12-04,1503.0
2022-12-05,5085.0
2022-12-06,10383.0
2022-12-07,16535.0
2022-12-08,11485.0
2022-12-09,6694.0
2022-12-10,8324.0
2022-12-11,1365.0
2022-12-12,16257.0
2022-12-13,9687.0
2022-12-14,8638.0
2022-12-15,9996.0
2022-12-16,12955.0
2022-12-17,1580.0
2022-12-18,819.0
2022-12-19,15026.0
2022-12-20,9893.0
2022-12-21,9576.0
2022-12-22,1023.0
2022-12-23,10797.0
2022-12-24,4908.0
2022-12-25,2668.0
2022-12-26,1568.0
2022-12-27,31.0
2022-12-28,9.0
2022-12-29,1104.0
2022-12-30,1026.0
2022-12-31,21.0
2023-01-01,851.0
2023-01-02,3666.0
2023-01-03,1047.0
2023-01-04,6387.0
2023-01-05,7176.0
2023-01-06,9358.0
2023-01-07,8762.0
2023-01-08,5305.0
2023-01-10,9048.0
2023-01-11,557.0
2023-01-12,14337.0
2023-01-13,11043.0
2023-01-14,8828.0
2023-01-15,10586.0
2023-01-16,17.0
2023-01-18,0.0
2023-01-19,1509.0
2023-01-20,88.0
2023-01-21,7940.0
2023-01-22,5.0
2023-01-23,960.0
2023-01-24,15364.0
2023-01-25,8594.0
2023-01-26,6436.0
2023-01-27,318.0
2023-01-28,11194.0
2023-01-29,46.0
2023-01-30,2673.0
2023-01-31,5154.0
2023-02-02,0.0
2023-02-03,18368.0
2023-02-04,10399.0
2023-02-05,749.0
2023-02-06,515.0
2023-02-07,9222.0
2023-02-08,42.0
2023-02-09,382.0
2023-02-11,2857.0
2023-02-12,1079.0
2023-02-13,3636.0
2023-02-14,8732.0
2023-02-15,8590.0
2023-02-16,463.0
2023-02-17,7793.0
2023-02-18,9983.0
2023-02-19,7.0
2023-02-20,1158.0
2023-02-21,8528.0
2023-02-22,7104.0
2023-02-23,8541.0
2023-02-24,8859.0
2023-02-25,13798.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,12337.0
2023-03-05,7.0
2023-03-06,21.0
2023-03-07,5.0
2023-03-08,5817.0
2023-03-09,3315.0
2023-03-10,0.0
2023-03-11,11075.0
2023-03-12,676.0
2023-03-13,6104.0
2023-03-14,38.0
2023-03-18,11765.0
2023-03-19,85.0
2023-03-20,13742.0
2023-03-21,4523.0
2023-06-10,0.0
2023-06-11,539.0
2023-06-13,2853.0
2023-06-14,520.0
2023-06-15,4.0
2023-06-17,10116.0
2023-06-19,3452.0
2023-06-20,1225.0
2023-06-21,5654.0
2023-06-22,1945.0
2023-06-23,7140.0
2023-06-24,5110.0
2023-06-25,7561.0
2023-06-26,5989.0
2023-06-28,84.0
2023-06-29,9037.0
2023-06-30,932.0
2023-07-01,9972.0
2023-07-02,9664.0
2023-07-03,12451.0
2023-07-04,8722.0
2023-07-05,7755.0
2023-07-06,7813.0
2023-07-07,8440.0
2023-07-08,1725.0
2023-07-09,2567.0
2023-07-10,965.0
2023-07-11,16584.0
2023-07-12,1798.0
2023-07-13,695.0
2023-07-14,8092.0
2023-07-15,8420.0
2023-07-16,56.0
2023-07-17,8067.0
2023-07-18,0.0
2023-07-19,10641.0
2023-07-20,538.0
2023-07-21,5806.0
2023-07-22,827.0
2023-07-24,10432.0
2023-07-25,4885.0
2023-07-26,10452.0
2023-07-27,790.0
2023-07-28,8998.0
2023-07-29,11506.0
2023-07-30,7691.0
2023-07-31,840.0
2023-08-01,9611.0
2023-08-02,1281.0
2023-08-03,6188.0
2023-08-04,1035.0
2023-08-05,11248.0
2023-08-06,12181.0
2023-08-07,10696.0
2023-08-08,6673.0
2023-08-13,513.0
2023-08-14,6209.0
2023-08-15,5933.0
2023-08-16,8861.0
2023-08-17,1107.0
2023-08-18,5999.0
2023-08-19,14753.0
2023-08-20,6730.0
2023-08-21,5269.0
2023-08-22,585.0
2023-08-25,5411.0
2023-08-26,13461.0
2023-08-27,12550.0
2023-08-28,7262.0
2023-08-29,6790.0
2023-08-30,5219.0
2023-08-31,11880.0
2023-09-01,96.0
2023-09-02,1893.0
2023-09-03,5885.0
2023-09-04,6348.0
2023-09-05,7188.0
2023-09-06,5596.0
2023-09-07,6715.0
2023-09-08,9086.0
2023-09-09,9429.0
2023-09-10,4140.0
2023-09-11,6685.0
2023-09-12,7403.0
2023-09-13,6379.0
2023-09-14,1243.0
2023-09-15,8223.0
2023-09-16,5285.0
2023-09-17,5877.0
2023-09-18,1281.0
2023-09-19,4543.0
2023-09-20,5874.0
2023-09-21,5560.0
2023-09-22,2588.0
2023-09-23,12794.0
2023-09-24,1567.0
2023-09-25,1224.0
2023-09-26,22128.0
2023-09-27,4822.0
2023-09-29,10776.0
2023-09-30,3073.0
2023-10-01,2191.0
2023-10-02,10579.0
2023-10-03,9912.0
2023-10-04,9522.0
2023-10-05,10637.0
2023-10-06,11082.0
2023-10-07,10497.0
2023-10-08,8175.0
2023-10-09,9413.0
2023-10-10,8940.0
2023-10-11,8716.0
2023-10-12,959.0
2023-10-13,577.0
2023-10-14,451.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,680.0
2023-10-18,12282.0
2023-10-19,6300.0
2023-10-20,8952.0
2023-10-21,10123.0
2023-10-22,8071.0
2023-10-23,3797.0
2023-10-24,10329.0
2023-10-25,9684.0
2023-10-26,7171.0
2023-10-27,896.0
2023-10-28,10480.0
2023-10-29,9286.0
2023-10-30,1019.0
2023-10-31,11180.0
2023-11-01,10253.0
2023-11-02,8871.0
2023-11-03,9194.0
2023-11-04,2540.0
2023-11-05,1032.0
2023-11-06,915.0
2023-11-07,9261.0
2023-11-08,10057.0
2023-11-09,9778.0
2023-11-10,9966.0
2023-11-11,2270.0
2023-11-12,8593.0
2023-11-13,434.0
2023-11-14,6109.0
2023-11-15,9254.0
2023-11-16,9154.0
2023-11-17,9939.0
2023-11-18,8706.0
2023-11-19,1352.0
2023-11-20,10485.0
2023-11-21,11307.0
2023-11-22,9419.0
2023-11-23,7234.0
2023-11-24,864.0
2023-11-25,11211.0
2023-11-26,9093.0
2023-11-27,9407.0
2023-11-28,795.0
2023-11-29,10485.0
2023-11-30,9485.0
2023-12-01,10162.0
2023-12-02,8780.0
2023-12-03,10369.0
2023-12-04,1215.0
2023-12-05,9517.0
2023-12-06,11068.0
2023-12-07,9469.0
2023-12-08,1245.0
2023-12-09,10329.0
2023-12-10,9102.0
2023-12-11,8271.0
2023-12-12,9418.0
2023-12-13,800.0
2023-12-14,9468.0
2023-12-15,11131.0
2023-12-16,6223.0
2023-12-17,12472.0
2023-12-18,4294.0
2023-12-19,11620.0
2023-12-20,12077.0
2023-12-21,7671.0
2023-12-22,1149.0
2023-12-23,10398.0
2023-12-24,10141.0
2023-12-25,2340.0
2023-12-26,1664.0
2023-12-27,9957.0
2023-12-28,8238.0
2023-12-29,680.0
2023-12-30,9997.0
2023-12-31,9436.0
2024-01-01,9146.0
2024-01-02,6628.0
2024-01-03,9211.0
2024-01-04,9506.0
2024-01-05,8990.0
2024-01-06,520.0
2024-01-07,9303.0
2024-01-08,9095.0
2024-01-09,531.0
2024-01-10,9505.0
2024-01-11,9521.0
2024-01-12,848.0
2024-01-13,10313.0
2024-01-14,9371.0
2024-01-15,9405.0
2024-01-16,1809.0
2024-01-17,9547.0
2024-01-18,1665.0
2024-01-19,2041.0
2024-01-20,8297.0
2024-01-21,9321.0
2024-01-22,541.0
2024-01-23,8108.0
2024-01-24,175.0
2024-01-25,5020.0
2024-01-26,347.0
2024-01-27,7836.0
2024-01-28,7800.0
2024-01-29,8390.0
2024-01-30,7932.0
2024-01-31,445.0
2024-02-01,7007.0
2024-02-02,7751.0
2024-02-03,678.0
2024-02-04,960.0
2024-02-05,8027.0
2024-02-06,7763.0
2024-02-07,315.0
2024-02-08,7918.0
2024-02-09,8146.0
2024-02-10,494.0
2024-02-11,7724.0
2024-02-12,8081.0
2024-02-13,7922.0
2024-02-14,613.0
2024-02-15,8053.0
2024-02-16,456.0
2024-02-17,7615.0
2024-02-18,8090.0
2024-02-19,786.0
2024-02-20,8348.0
2024-02-21,8308.0
2024-02-22,7023.0
2024-02-23,868.0
2024-02-24,7934.0
2024-02-25,9526.0
2024-02-26,459.0
2024-02-27,9497.0
2024-02-28,8396.0
2024-02-29,771.0
2024-03-01,9515.0
2024-03-02,11232.0
2024-03-03,8088.0
2024-03-04,645.0
2024-03-05,1058.0
2024-03-06,9218.0
2024-03-07,9180.0
2024-03-08,9284.0
2024-03-09,961.0
2024-03-10,1077.0
2024-03-11,9407.0
2024-03-12,683.0
2024-03-13,7900.0
2024-03-14,584.0
2024-03-15,9426.0
2024-03-16,10611.0
2024-03-17,11936.0
2024-03-18,8780.0
2024-03-19,552.0
2024-03-20,9064.0
2024-03-21,9930.0
2024-03-22,377.0
2024-03-23,7765.0
2024-03-24,8678.0
2024-03-25,802.0
2024-03-26,9341.0
2024-03-27,9421.0
2024-03-28,9129.0
2024-03-29,11648.0
2024-03-30,10734.0
2024-03-31,2381.0
2024-04-01,7742.0
2024-04-02,594.0
2024-04-03,840.0
2024-04-04,659.0
2024-04-05,10467.0
2024-04-06,9484.0
2024-04-07,653.0
2024-04-08,8969.0
2024-04-09,1169.0
2024-04-10,9033.0
2024-04-11,1150.0
2024-04-12,9947.0
2024-04-13,10473.0
2024-04-14,9071.0
2024-04-15,10648.0
2024-04-16,2100.0
2024-04-17,1188.0
2024-04-18,9196.0
2024-04-19,7936.0
2024-04-20,7926.0
2024-04-21,1800.0
2024-04-22,12539.0
2024-04-23,18299.0
2024-04-24,7527.0
2024-04-25,9694.0
2024-04-26,13439.0
2024-04-27,2918.0
2024-04-28,10241.0
2024-04-29,9806.0
2024-04-30,9725.0
2024-05-01,9733.0
2024-05-02,2329.0
2024-05-03,9226.0
2024-05-04,9696.0
2024-05-05,4546.0
2024-05-06,9945.0
2024-05-07,1006.0
2024-05-08,9165.0
2024-05-09,1434.0
2024-05-10,9529.0
2024-05-11,11528.0
2024-05-12,5359.0
2024-05-13,9196.0
2024-05-14,2259.0
2024-05-15,9444.0
2024-05-16,5589.0
2024-05-17,10576.0
2024-05-18,20076.0
2024-05-19,2023.0
2024-05-20,9562.0
2024-05-21,2613.0
2024-05-22,8807.0
2024-05-23,1165.0
2024-05-24,9713.0
2024-05-25,9515.0
2024-05-26,8517.0
2024-05-27,1241.0
2024-05-28,9880.0
2024-05-29,6560.0
2024-05-30,6504.0
2024-05-31,1625.0
2024-06-01,10875.0
2024-06-02,10522.0
2024-06-03,7683.0
2024-06-04,8969.0
2024-06-05,9503.0
2024-06-06,7095.0
2024-06-07,9459.0
2024-06-08,6238.0
2024-06-09,8090.0
2024-06-10,461.0
2024-06-11,10257.0
2024-06-12,1152.0
2024-06-13,9966.0
2024-06-14,554.0
2024-06-15,18008.0
2024-06-16,979.0
2024-06-17,11247.0
2024-06-18,1754.0
2024-06-19,10985.0
2024-06-20,11566.0
2024-06-21,6026.0
2024-06-22,3715.0
2024-06-23,2191.0
2024-06-24,1517.0
2024-06-25,2799.0
2024-06-26,1559.0
2024-06-27,5860.0
2024-06-28,9613.0
2024-06-29,15144.0
2024-06-30,1124.0
2024-07-01,11739.0
2024-07-02,12576.0
2024-07-03,10441.0
2024-07-04,2055.0
2024-07-05,10240.0
2024-07-06,23721.0
2024-07-07,10374.0
2024-07-08,2535.0
2024-07-09,9803.0
2024-07-10,7553.0
2024-07-11,11406.0
2024-07-15,1190.0
2024-07-16,9466.0
2024-07-17,773.0
2024-07-18,10376.0
2024-07-19,1191.0
2024-07-20,1488.0
2024-07-21,1105.0
2024-07-22,10635.0
2024-07-23,9733.0
2024-07-24,940.0
2024-07-25,8976.0
2024-07-26,14794.0
2024-07-27,11827.0
2024-07-28,821.0
2024-07-29,9594.0
2024-07-30,17464.0
2024-07-31,1739.0
2024-08-01,4837.0
2024-08-02,9268.0
2024-08-03,19379.0
2024-08-04,12374.0
2024-08-05,1606.0
2024-08-06,11987.0
2024-08-07,9995.0
2024-08-08,9109.0
2024-08-09,439.0
2024-08-10,14557.0
2024-08-11,2341.0
2024-08-12,11847.0
2024-08-13,1014.0
2024-08-14,10428.0
2024-08-15,594.0
2024-08-16,14440.0
2024-08-17,8554.0
2024-08-18,882.0
2024-08-19,10346.0
2024-08-20,15744.0
2024-08-21,10020.0
2024-08-22,767.0
2024-08-23,1388.0
2024-08-24,19925.0
2024-08-25,714.0
2024-08-26,1209.0
2024-08-27,8901.0
2024-08-28,9669.0
2024-08-29,20071.0
2024-08-30,9248.0
2024-08-31,12371.0
2024-09-01,1103.0
2024-09-02,529.0
2024-09-03,1508.0
2024-09-04,14844.0
2024-09-05,11580.0
2024-09-06,9202.0
2024-09-07,13226.0
2024-09-08,2631.0
2024-09-09,20642.0
2024-09-10,468.0
2024-09-11,12335.0
2024-09-12,9362.0
2024-09-13,1817.0
2024-09-14,16560.0
2024-09-15,894.0
2024-09-16,17652.0
2024-09-17,873.0
2024-09-18,15403.0
2024-09-19,1027.0
2024-09-20,9098.0
2024-09-21,2462.0
2024-09-22,8771.0
2024-09-23,954.0
2024-09-24,9408.0
2024-09-25,746.0
2024-09-26,8838.0
2024-09-27,10882.0
2024-09-28,15805.0
2024-09-29,2896.0
2024-09-30,1083.0
2024-10-01,9723.0
2024-10-02,5459.0
2024-10-03,8494.0
2024-10-04,9497.0
2024-10-05,7191.0
2024-10-06,11678.0
2024-10-07,2776.0
2024-10-08,9011.0
2024-10-09,11416.0
2024-10-10,916.0
2024-10-11,10833.0
2024-10-12,14526.0
2024-10-13,16983.0
2024-10-14,9228.0
2024-10-15,1278.0
2024-10-16,2175.0
2024-10-17,1423.0
2024-10-19,2100.0
2024-10-20,4527.0
2024-10-21,1111.0
2024-10-22,8398.0
2024-10-23,12360.0
2024-10-24,936.0
2024-10-25,8840.0
2024-10-26,8589.0
2024-10-27,1648.0
2024-10-28,1242.0
2024-10-29,10363.0
2024-10-30,13608.0
2024-10-31,3965.0
2024-11-01,3103.0
2024-11-02,16261.0
2024-11-03,4870.0
2024-11-04,2332.0
2024-11-05,4560.0
2024-11-06,2673.0
2024-11-07,11103.0
2024-11-08,930.0
2024-11-09,17419.0
2024-11-10,11052.0
2024-11-11,975.0
2024-11-12,9658.0
2024-11-13,1268.0
2024-11-14,8831.0
2024-11-15,1372.0
2024-11-16,727.0
2024-11-17,9276.0
2024-11-18,9816.0
2024-11-19,1277.0
2024-11-20,1906.0
2024-11-21,0.0
2024-11-22,794.0
2024-11-23,11095.0
2024-11-24,9379.0
2024-11-25,2637.0
2024-11-26,1154.0
2024-11-27,1211.0
2024-11-28,9414.0
2024-11-29,11051.0
2024-11-30,2316.0
2024-12-01,1989.0
2024-12-02,9855.0
2024-12-03,89.0
2024-12-04,8767.0
2024-12-05,736.0
2024-12-06,2235.0
2024-12-07,1669.0
2024-12-08,2698.0
2024-12-09,1255.0
2024-12-10,679.0
2024-12-11,8612.0
2024-12-12,8851.0
2024-12-13,5937.0
2024-12-14,2720.0
2024-12-15,10241.0
2024-12-16,1122.0
2024-12-17,10290.0
2024-12-18,10528.0
2024-12-19,10499.0
2024-12-20,1842.0
2024-12-21,10454.0
2024-12-22,2446.0
2024-12-23,10558.0
2024-12-24,903.0
2024-12-25,3971.0
2024-12-26,1746.0
2024-12-27,760.0
2024-12-28,1318.0
2024-12-29,1097.0
2024-12-30,1717.0
2024-12-31,1016.0
2025-01-01,9132.0
2025-01-02,1543.0
2025-01-03,1622.0
2025-01-04,2731.0
2025-01-05,970.0
2025-01-06,11186.0
2025-01-07,10074.0
2025-01-08,1656.0
2025-01-09,6157.0
2025-01-10,12621.0
2025-01-11,16876.0
2025-01-12,15532.0
2025-01-13,1892.0
2025-01-14,740.0
2025-01-15,208.0
2025-01-16,993.0
2025-01-17,10265.0
2025-01-18,709.0
2025-01-19,2332.0
2025-01-20,9884.0
2025-01-21,1213.0
2025-01-22,9282.0
2025-01-23,1365.0
2025-01-24,7903.0
2025-01-25,15272.0
2025-01-26,1079.0
2025-01-27,9932.0
2025-01-28,10183.0
2025-01-29,1166.0
2025-01-30,2340.0
2025-01-31,97.0
2025-02-01,14224.0
2025-02-02,9364.0
2025-02-03,1249.0
2025-02-04,6826.0
2025-02-05,1133.0
2025-02-06,886.0
2025-02-07,8888.0
2025-02-08,10079.0
2025-02-09,3108.0
2025-02-10,9410.0
2025-02-11,1830.0
2025-02-12,7231.0
2025-02-13,789.0
2025-02-14,7843.0
2025-02-15,17884.0
2025-02-16,872.0
2025-02-17,3785.0
2025-02-18,57.0
2025-02-20,7443.0
2025-02-21,1337.0
2025-02-22,4923.0
2025-02-23,11578.0
2025-02-24,1504.0
2025-02-25,7593.0
2025-02-26,783.0
2025-02-27,8002.0
2025-02-28,2261.0
2025-03-01,5324.0
2025-03-02,930.0
2025-03-03,9082.0
2025-03-04,1486.0
2025-03-05,10009.0
2025-03-06,1450.0
2025-03-07,7959.0
2025-03-08,15235.0
2025-03-09,1749.0
2025-03-10,820.0
2025-03-11,8818.0
2025-03-12,8647.0
2025-03-13,8887.0
2025-03-14,1442.0
2025-03-15,15845.0
