date,start_time,asin,book_name,total_reading_minutes,image,number_of_page_flips
2021-04-17,07:40:49,B001GSTOAM,Clean Code,7,https://images.amazon.com/images/P/B001GSTOAM.jpg,45
2021-05-12,13:29:55,B001GSTOAM,Clean Code,2,https://images.amazon.com/images/P/B001GSTOAM.jpg,6
2023-03-25,11:14:26,B001GSTOAM,Clean Code,0,https://images.amazon.com/images/P/B001GSTOAM.jpg,1
2024-02-12,22:44:45,B001GSTOAM,Clean Code,1,https://images.amazon.com/images/P/B001GSTOAM.jpg,33
2024-05-09,16:09:15,B001GSTOAM,Clean Code,0,https://images.amazon.com/images/P/B001GSTOAM.jpg,1
2024-12-16,23:44:57,B001GSTOAM,Clean Code,0,https://images.amazon.com/images/P/B001GSTOAM.jpg,2
2025-01-05,23:59:48,B001GSTOAM,Clean Code,0,https://images.amazon.com/images/P/B001GSTOAM.jpg,1
2025-04-07,23:08:58,B002RI9KAE,Snow Crash,1,https://images.amazon.com/images/P/B002RI9KAE.jpg,29
2025-04-08,00:49:13,B002RI9KAE,Snow Crash,45,https://images.amazon.com/images/P/B002RI9KAE.jpg,75
2025-04-09,20:44:59,B002RI9KAE,Snow Crash,30,https://images.amazon.com/images/P/B002RI9KAE.jpg,30
2025-04-10,22:15:18,B002RI9KAE,Snow Crash,10,https://images.amazon.com/images/P/B002RI9KAE.jpg,15
2025-04-11,20:52:43,B002RI9KAE,Snow Crash,25,https://images.amazon.com/images/P/B002RI9KAE.jpg,36
2025-04-12,20:15:51,B002RI9KAE,Snow Crash,29,https://images.amazon.com/images/P/B002RI9KAE.jpg,32
2025-04-13,18:38:56,B002RI9KAE,Snow Crash,151,https://images.amazon.com/images/P/B002RI9KAE.jpg,147
2025-04-14,19:40:59,B002RI9KAE,Snow Crash,35,https://images.amazon.com/images/P/B002RI9KAE.jpg,41
2025-04-15,20:47:49,B002RI9KAE,Snow Crash,78,https://images.amazon.com/images/P/B002RI9KAE.jpg,85
2025-04-16,20:40:50,B002RI9KAE,Snow Crash,23,https://images.amazon.com/images/P/B002RI9KAE.jpg,26
2025-04-17,16:52:54,B002RI9KAE,Snow Crash,184,https://images.amazon.com/images/P/B002RI9KAE.jpg,204
2025-04-18,20:40:59,B002RI9KAE,Snow Crash,33,https://images.amazon.com/images/P/B002RI9KAE.jpg,56
2025-04-19,22:19:06,B002RI9KAE,Snow Crash,37,https://images.amazon.com/images/P/B002RI9KAE.jpg,35
2025-04-20,22:27:17,B002RI9KAE,Snow Crash,10,https://images.amazon.com/images/P/B002RI9KAE.jpg,7
2025-04-21,18:12:19,B002RI9KAE,Snow Crash,22,https://images.amazon.com/images/P/B002RI9KAE.jpg,29
2025-04-22,20:46:58,B002RI9KAE,Snow Crash,44,https://images.amazon.com/images/P/B002RI9KAE.jpg,48
2025-04-23,13:57:54,B002RI9KAE,Snow Crash,321,https://images.amazon.com/images/P/B002RI9KAE.jpg,389
2021-07-31,20:24:12,B002U3CBZM,Altered Carbon,22,https://images.amazon.com/images/P/B002U3CBZM.jpg,56
2021-08-01,01:25:39,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,1
2021-12-27,21:36:40,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,1
2021-12-28,10:31:33,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,5
2021-12-29,17:14:45,B002U3CBZM,Altered Carbon,210,https://images.amazon.com/images/P/B002U3CBZM.jpg,228
2021-12-30,23:57:32,B002U3CBZM,Altered Carbon,2,https://images.amazon.com/images/P/B002U3CBZM.jpg,9
2021-12-31,21:28:25,B002U3CBZM,Altered Carbon,49,https://images.amazon.com/images/P/B002U3CBZM.jpg,52
2022-01-01,08:27:28,B002U3CBZM,Altered Carbon,26,https://images.amazon.com/images/P/B002U3CBZM.jpg,34
2022-01-02,17:21:50,B002U3CBZM,Altered Carbon,69,https://images.amazon.com/images/P/B002U3CBZM.jpg,72
2022-01-03,05:18:53,B002U3CBZM,Altered Carbon,149,https://images.amazon.com/images/P/B002U3CBZM.jpg,170
2022-01-04,15:33:07,B002U3CBZM,Altered Carbon,30,https://images.amazon.com/images/P/B002U3CBZM.jpg,45
2022-01-05,05:28:33,B002U3CBZM,Altered Carbon,20,https://images.amazon.com/images/P/B002U3CBZM.jpg,25
2022-01-06,21:40:03,B002U3CBZM,Altered Carbon,45,https://images.amazon.com/images/P/B002U3CBZM.jpg,32
2022-01-07,05:17:46,B002U3CBZM,Altered Carbon,141,https://images.amazon.com/images/P/B002U3CBZM.jpg,104
2022-01-08,09:21:45,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,1
2022-01-09,08:20:43,B002U3CBZM,Altered Carbon,111,https://images.amazon.com/images/P/B002U3CBZM.jpg,112
2022-01-10,01:49:52,B002U3CBZM,Altered Carbon,68,https://images.amazon.com/images/P/B002U3CBZM.jpg,75
2022-01-11,06:35:35,B002U3CBZM,Altered Carbon,153,https://images.amazon.com/images/P/B002U3CBZM.jpg,56
2022-01-12,07:56:57,B002U3CBZM,Altered Carbon,221,https://images.amazon.com/images/P/B002U3CBZM.jpg,258
2022-01-13,07:53:27,B002U3CBZM,Altered Carbon,20,https://images.amazon.com/images/P/B002U3CBZM.jpg,22
2022-01-14,03:41:42,B002U3CBZM,Altered Carbon,1,https://images.amazon.com/images/P/B002U3CBZM.jpg,3
2022-01-16,06:00:14,B002U3CBZM,Altered Carbon,25,https://images.amazon.com/images/P/B002U3CBZM.jpg,38
2022-01-17,00:53:24,B002U3CBZM,Altered Carbon,14,https://images.amazon.com/images/P/B002U3CBZM.jpg,23
2022-01-18,22:50:02,B002U3CBZM,Altered Carbon,31,https://images.amazon.com/images/P/B002U3CBZM.jpg,46
2022-01-19,21:03:12,B002U3CBZM,Altered Carbon,20,https://images.amazon.com/images/P/B002U3CBZM.jpg,2
2022-01-20,21:20:17,B002U3CBZM,Altered Carbon,45,https://images.amazon.com/images/P/B002U3CBZM.jpg,64
2022-02-12,16:16:24,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,19
2022-05-10,20:54:19,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,2
2022-08-20,17:34:25,B002U3CBZM,Altered Carbon,0,https://images.amazon.com/images/P/B002U3CBZM.jpg,2
2024-09-19,22:33:01,B002VBV1HC,The Eye Of The World,4,https://images.amazon.com/images/P/B002VBV1HC.jpg,4
2024-09-20,21:25:20,B002VBV1HC,The Eye Of The World,33,https://images.amazon.com/images/P/B002VBV1HC.jpg,58
2024-09-21,20:54:48,B002VBV1HC,The Eye Of The World,43,https://images.amazon.com/images/P/B002VBV1HC.jpg,85
2024-09-22,21:42:22,B002VBV1HC,The Eye Of The World,31,https://images.amazon.com/images/P/B002VBV1HC.jpg,45
2024-09-23,17:16:28,B002VBV1HC,The Eye Of The World,24,https://images.amazon.com/images/P/B002VBV1HC.jpg,32
2024-09-24,22:59:10,B002VBV1HC,The Eye Of The World,14,https://images.amazon.com/images/P/B002VBV1HC.jpg,40
2024-09-25,18:15:41,B002VBV1HC,The Eye Of The World,40,https://images.amazon.com/images/P/B002VBV1HC.jpg,48
2024-09-27,19:54:16,B002VBV1HC,The Eye Of The World,48,https://images.amazon.com/images/P/B002VBV1HC.jpg,40
2024-09-28,20:39:42,B002VBV1HC,The Eye Of The World,63,https://images.amazon.com/images/P/B002VBV1HC.jpg,75
2024-09-29,16:58:02,B002VBV1HC,The Eye Of The World,99,https://images.amazon.com/images/P/B002VBV1HC.jpg,99
2024-09-30,19:56:02,B002VBV1HC,The Eye Of The World,56,https://images.amazon.com/images/P/B002VBV1HC.jpg,58
