date,value
2022-12-02,1785
2022-12-03,2004
2022-12-04,2026
2022-12-05,3102
2022-12-06,2721
2022-12-07,3444
2022-12-08,2800
2022-12-09,2470
2022-12-10,3345
2022-12-11,1991
2022-12-12,3367
2022-12-13,2689
2022-12-14,2527
2022-12-15,2569
2022-12-16,2800
2022-12-17,2375
2022-12-18,1941
2022-12-19,3321
2022-12-20,2687
2022-12-21,2538
2022-12-22,1936
2022-12-23,3767
2022-12-24,2407
2022-12-25,2128
2022-12-26,2046
2022-12-27,1737
2022-12-28,1733
2022-12-29,1955
2022-12-30,1931
2022-12-31,1733
2023-01-01,1968
2023-01-02,2395
2023-01-03,2098
2023-01-04,2331
2023-01-05,2434
2023-01-06,2633
2023-01-07,2643
2023-01-08,2261
2023-01-09,1728
2023-01-10,3030
2023-01-11,1869
2023-01-12,3155
2023-01-13,2756
2023-01-14,2572
2023-01-15,2886
2023-01-16,1735
2023-01-17,1728
2023-01-18,1728
2023-01-19,1973
2023-01-20,1749
2023-01-21,2561
2023-01-22,1731
2023-01-23,1937
2023-01-24,3117
2023-01-25,2494
2023-01-26,2382
2023-01-27,1780
2023-01-28,3001
2023-01-29,1787
2023-01-30,2170
2023-01-31,2330
2023-02-01,1728
2023-02-02,1728
2023-02-03,3464
2023-02-04,2780
2023-02-05,1974
2023-02-06,1857
2023-02-07,2538
2023-02-08,1740
2023-02-09,1840
2023-02-10,1728
2023-02-11,2054
2023-02-12,1924
2023-02-13,2445
2023-02-14,2524
2023-02-15,2747
2023-02-16,1878
2023-02-17,3025
2023-02-18,2794
2023-02-19,1729
2023-02-20,2247
2023-02-21,2647
2023-02-22,2544
2023-02-23,2492
2023-02-24,2606
2023-02-25,3070
2023-02-26,1728
2023-02-27,1728
2023-02-28,1728
2023-03-01,1728
2023-03-02,1728
2023-03-03,1785
2023-03-04,2987
2023-03-05,1731
2023-03-06,1733
2023-03-07,1732
2023-03-08,2264
2023-03-09,1995
2023-03-10,1728
2023-03-11,2828
2023-03-12,2406
2023-03-13,2323
2023-03-14,1734
2023-03-15,1728
2023-03-16,1728
2023-03-17,1728
2023-03-18,3049
2023-03-19,1747
2023-03-20,2941
2023-03-21,2176
2023-03-22,1728
2023-03-23,1728
2023-03-24,1728
2023-03-25,1728
2023-03-26,1728
2023-03-27,1728
2023-03-28,1728
2023-03-29,1728
2023-03-30,1728
2023-03-31,1728
2023-04-01,1728
2023-04-02,1728
2023-04-03,1728
2023-04-04,1728
2023-04-05,1728
2023-04-06,1728
2023-04-07,1728
2023-04-08,1728
2023-04-09,1728
2023-04-10,1728
2023-04-11,1728
2023-04-12,1728
2023-04-13,1728
2023-04-14,1728
2023-04-15,1728
2023-04-16,1728
2023-04-17,1728
2023-04-18,1728
2023-04-19,1728
2023-04-20,1728
2023-04-21,1728
2023-04-22,1728
2023-04-23,1728
2023-04-24,1728
2023-04-25,1728
2023-04-26,1728
2023-04-27,1728
2023-04-28,1728
2023-04-29,1728
2023-04-30,1728
2023-05-01,1728
2023-05-02,1728
2023-05-03,1728
2023-05-04,1728
2023-05-05,1728
2023-05-06,1728
2023-05-07,1728
2023-05-08,1728
2023-05-09,1728
2023-05-10,1728
2023-05-11,1728
2023-05-12,1728
2023-05-13,1728
2023-05-14,1728
2023-05-15,1728
2023-05-16,1728
2023-05-17,1728
2023-05-18,1728
