activity_name,average_heart_rate,calories,distance,active_duration,start_time,pace,date
Walk,104.0,386,,2458000,17:05:34,,2024-08-21
Walk,126.0,393,,2970000,18:51:25,,2024-08-21
Walk,120.0,600,,4045000,06:52:16,,2024-08-24
Run,149.0,545,4.98,1947000,08:00:43,387.80920663438576,2024-08-24
Walk,119.0,561,,4352000,08:40:39,,2024-08-24
Walk,92.0,288,,2151000,17:14:44,,2024-08-27
Run,112.0,153,1.41,1082000,19:14:53,761.0981760373655,2024-08-27
Walk,102.0,301,,2151000,17:32:16,,2024-08-28
Walk,109.0,339,,2201000,19:25:48,,2024-08-28
Walk,101.0,513,,3739000,15:54:29,,2024-08-29
Run,174.0,724,6.69,3108000,17:32:32,460.61640790339504,2024-08-29
Walk,105.0,309,,2305000,18:56:15,,2024-08-29
Walk,102.0,309,,2253000,17:27:58,,2024-08-30
Walk,133.0,391,,2253000,19:02:42,,2024-08-30
Run,149.0,434,4.81,1963000,08:02:22,404.58794068242014,2024-08-31
Walk,104.0,595,,4916000,08:37:41,,2024-08-31
Walk,101.0,492,,4147000,17:08:35,,2024-09-04
Run,150.0,429,4.95,1965000,18:20:35,393.4430168369584,2024-09-04
Walk,104.0,122,,921000,19:15:44,,2024-09-04
Walk,105.0,308,,2202000,16:59:36,,2024-09-05
Sport,147.0,297,,2048000,17:36:18,,2024-09-05
Walk,111.0,387,,2969000,18:24:56,,2024-09-05
Walk,99.0,280,,2099000,13:40:29,,2024-09-06
Walk,117.0,481,,3585000,15:31:24,,2024-09-06
Run,183.0,487,4.74,1893000,08:02:41,395.6385706851256,2024-09-07
Walk,116.0,241,,1894000,08:49:54,,2024-09-07
Walk,120.0,304,,2253000,10:06:42,,2024-09-07
Walk,96.0,342,,2969000,17:10:01,,2024-09-09
Walk,88.0,118,,974000,18:14:00,,2024-09-09
Run,141.0,371,2.88,1994000,18:31:07,686.7431704528234,2024-09-09
Run,150.0,696,6.05,3278000,19:10:17,537.3832158729691,2024-09-09
Walk,122.0,181,,1126000,17:49:37,,2024-09-11
Run,172.0,616,5.32,2389000,18:18:33,444.65455980315335,2024-09-11
Walk,114.0,178,,1331000,19:12:24,,2024-09-11
Walk,103.0,318,,2408000,15:36:53,,2024-09-12
Walk,97.0,328,,2511000,17:06:29,,2024-09-12
Run,189.0,539,4.57,1859000,08:02:32,402.87364417523594,2024-09-14
Walk,118.0,128,,1075000,09:52:09,,2024-09-14
Walk,88.0,142,,1536000,17:13:28,,2024-09-16
Run,171.0,798,5.32,3303000,17:40:23,614.1676939983377,2024-09-16
Walk,100.0,141,,1229000,19:42:49,,2024-09-16
Walk,123.0,111,,921000,19:03:10,,2024-09-18
Walk,109.0,335,,2458000,19:34:43,,2024-09-18
Run,59.0,45,0.0,1752000,13:19:35,,2024-09-19
Walk,94.0,308,,2407000,13:43:59,,2024-09-20
Walk,108.0,298,,2151000,15:41:46,,2024-09-20
Walk,106.0,303,,2097000,11:40:31,,2024-09-22
Walk,98.0,314,,2253000,16:59:45,,2024-09-24
Walk,110.0,312,,2149000,18:44:43,,2024-09-24
Walk,98.0,291,,2151000,17:47:51,,2024-09-26
Walk,100.0,365,,2816000,18:50:10,,2024-09-26
Walk,108.0,253,,1791000,14:47:27,,2024-09-27
Walk,131.0,385,,2356000,17:03:07,,2024-09-27
Run,147.0,331,2.42,1374000,06:56:49,562.1448238899276,2024-09-28
Run,172.0,246,1.88,997000,07:19:57,524.1382210843406,2024-09-28
Run,165.0,475,4.91,1879000,08:01:35,378.575717158204,2024-09-28
Walk,127.0,133,,921000,08:56:19,,2024-09-28
Walk,100.0,288,,2151000,15:09:47,,2024-10-01
Walk,121.0,343,,2457000,16:53:53,,2024-10-01
Walk,93.0,277,,2202000,17:19:53,,2024-10-03
Walk,104.0,267,,2100000,19:02:18,,2024-10-03
Walk,88.0,276,,2356000,16:37:01,,2024-10-04
Walk,110.0,367,,2868000,18:23:43,,2024-10-04
Walk,103.0,587,,4404000,13:33:02,,2024-10-06
Walk,105.0,296,,2253000,15:50:26,,2024-10-06
Walk,96.0,267,,2100000,16:32:44,,2024-10-08
Run,147.0,244,1.43,1288000,18:31:03,896.0810368937713,2024-10-08
Run,137.0,192,1.02,951000,18:02:37,930.7105108631825,2024-10-09
Run,153.0,350,3.76,1590000,18:27:16,419.4553411965821,2024-10-09
Walk,116.0,150,,1177000,19:07:03,,2024-10-09
Walk,98.0,296,,2246000,13:33:11,,2024-10-11
Walk,110.0,358,,2765000,15:31:47,,2024-10-11
Run,145.0,556,5.13,2525000,07:02:23,487.4884402493624,2024-10-12
Run,155.0,431,4.89,1917000,08:02:13,387.916904435244,2024-10-12
Run,130.0,113,0.67,1287000,10:05:13,1897.810218978102,2024-10-13
Walk,99.0,286,,2149000,13:58:48,,2024-10-13
Walk,117.0,303,,1997000,15:36:56,,2024-10-13
Walk,94.0,262,,2202000,15:21:08,,2024-10-14
Walk,101.0,374,,3070000,17:10:21,,2024-10-14
Run,158.0,246,0.62,1771000,15:26:54,2852.4489828788633,2024-10-20
Walk,111.0,299,,2048000,17:36:23,,2024-10-22
Walk,122.0,258,,1946000,19:05:09,,2024-10-22
Run,170.0,403,4.64,1750000,18:19:59,373.6210713744345,2024-10-23
Walk,92.0,268,,2304000,14:54:15,,2024-10-25
Walk,118.0,316,,2099000,16:45:12,,2024-10-25
Run,181.0,281,2.57,1003000,09:09:25,383.4654881060705,2024-10-26
Walk,125.0,247,,1741000,09:37:25,,2024-10-26
Run,184.0,518,5.03,1922000,19:20:42,336.7029909981878,2024-10-30
Walk,,146,,1178000,20:13:42,,2024-10-30
Run,65.0,1039,0.0,33633000,21:00:15,,2024-10-30
Run,172.0,631,4.0,2459000,08:13:09,610.8603467421195,2024-11-02
Run,188.0,555,5.13,1903000,09:02:34,367.11866826400905,2024-11-02
Walk,,138,,922000,09:44:08,,2024-11-02
Walk,92.0,188,,1844000,09:43:06,,2024-11-03
Walk,103.0,285,,2100000,14:05:38,,2024-11-07
Elliptical,130.0,249,,1150000,15:46:03,,2024-11-07
Run,139.0,602,5.47,2741000,08:11:20,495.8465390237196,2024-11-09
Run,157.0,450,5.02,1899000,09:02:12,374.829017569,2024-11-09
Walk,100.0,305,,2201000,15:44:32,,2024-11-10
Walk,105.0,294,,2202000,17:49:08,,2024-11-10
Walk,96.0,294,,2356000,16:06:15,,2024-11-12
Walk,104.0,350,,2766000,17:56:21,,2024-11-12
Walk,97.0,270,,2099000,15:46:17,,2024-11-14
Walk,127.0,300,,2305000,17:29:33,,2024-11-14
Walk,122.0,271,,1946000,16:57:24,,2024-11-17
Elliptical,134.0,244,,1199000,18:32:18,,2024-11-17
Walk,102.0,298,,2202000,14:32:59,,2024-11-18
Elliptical,130.0,247,,1221000,16:09:58,,2024-11-18
Walk,114.0,331,,2150000,13:53:53,,2024-11-23
Walk,100.0,447,,3482000,15:28:37,,2024-11-23
Walk,102.0,284,,2100000,11:31:10,,2024-11-24
Walk,117.0,254,,1895000,13:33:13,,2024-11-24
Walk,121.0,357,,2151000,17:31:49,,2024-11-28
Elliptical,138.0,183,,978000,19:02:38,,2024-11-28
Walk,117.0,304,,2509000,15:34:43,,2024-11-29
Elliptical,147.0,230,,1111000,17:29:27,,2024-11-29
Walk,125.0,350,,2305000,17:43:35,,2024-11-29
Walk,102.0,292,,2201000,16:21:56,,2024-12-02
Elliptical,129.0,202,,1054000,17:43:38,,2024-12-02
Walk,115.0,299,,2100000,18:22:58,,2024-12-04
Elliptical,130.0,162,,908000,19:56:48,,2024-12-04
Walk,118.0,323,,2098000,19:00:53,,2024-12-11
Walk,126.0,313,,1996000,20:47:33,,2024-12-11
Walk,106.0,285,,2049000,19:22:36,,2024-12-12
Walk,101.0,125,,922000,21:09:16,,2024-12-12
Walk,98.0,281,,2150000,13:51:52,,2024-12-15
Walk,115.0,317,,2150000,16:04:59,,2024-12-15
Walk,119.0,305,,2304000,16:38:15,,2024-12-17
Elliptical,109.0,680,,4799000,18:27:52,,2024-12-17
Run,154.0,221,2.85,1066000,19:16:52,369.242706071029,2024-12-18
Walk,115.0,161,,1177000,20:09:42,,2024-12-18
Walk,112.0,305,,2201000,16:54:41,,2024-12-19
Walk,116.0,344,,2611000,18:33:40,,2024-12-19
Walk,,288,,2253000,14:50:47,,2024-12-23
Walk,,288,,1843000,16:42:36,,2024-12-23
Walk,,333,,1997000,17:24:06,,2025-01-01
Walk,114.0,305,,2304000,09:52:36,,2025-01-06
Elliptical,157.0,259,,1157000,11:32:28,,2025-01-06
Walk,115.0,302,,2458000,16:19:02,,2025-01-07
Elliptical,132.0,214,,1178000,17:48:09,,2025-01-07
Walk,,141,,1229000,16:59:03,,2025-01-10
Walk,,176,,1332000,10:10:54,,2025-01-11
Walk,,201,,1587000,11:31:08,,2025-01-11
Outdoor Bike,,168,,1383000,15:09:37,,2025-01-11
Outdoor Bike,,126,,1024000,16:03:23,,2025-01-11
Walk,,147,,1229000,12:34:06,,2025-01-12
Walk,,312,,2355000,17:34:23,,2025-01-20
Elliptical,157.0,254,,1190000,19:00:24,,2025-01-20
Walk,104.0,317,,2202000,16:42:49,,2025-01-22
Walk,128.0,311,,2458000,18:15:51,,2025-01-22
Walk,126.0,362,,2151000,13:47:22,,2025-01-24
Walk,131.0,335,,2202000,15:22:06,,2025-01-24
Run,144.0,360,3.69,1744000,08:08:41,467.7998653465984,2025-01-25
Run,142.0,489,5.38,2294000,09:03:00,422.63589199386865,2025-01-25
Walk,110.0,281,,2099000,17:53:54,,2025-01-27
Elliptical,147.0,239,,1199000,19:18:04,,2025-01-27
Walk,105.0,283,,2100000,16:27:30,,2025-01-28
