date,value
2022-12-03,1254
2022-12-04,1503
2022-12-05,5085
2022-12-06,10383
2022-12-07,16535
2022-12-08,11485
2022-12-09,6694
2022-12-10,8324
2022-12-11,1365
2022-12-12,16257
2022-12-13,9687
2022-12-14,8638
2022-12-15,9996
2022-12-16,12955
2022-12-17,1580
2022-12-18,819
2022-12-19,15026
2022-12-20,9893
2022-12-21,9576
2022-12-22,1023
2022-12-23,10797
2022-12-24,4908
2022-12-25,2668
2022-12-26,1568
2022-12-27,31
2022-12-28,9
2022-12-29,1104
2022-12-30,1026
2022-12-31,21
2023-01-01,851
2023-01-02,3666
2023-01-03,1047
2023-01-04,6387
2023-01-05,7176
2023-01-06,9358
2023-01-07,8762
2023-01-08,5305
2023-01-10,9048
2023-01-11,557
2023-01-12,14337
2023-01-13,11043
2023-01-14,8828
2023-01-15,10586
2023-01-16,17
2023-01-18,0
2023-01-19,1509
2023-01-20,88
2023-01-21,7940
2023-01-22,5
2023-01-23,960
2023-01-24,15364
2023-01-25,8594
2023-01-26,6436
2023-01-27,318
2023-01-28,11194
2023-01-29,46
2023-01-30,2673
2023-01-31,5154
2023-02-02,0
2023-02-03,18368
2023-02-04,10399
2023-02-05,749
2023-02-06,515
2023-02-07,9222
2023-02-08,42
2023-02-09,382
2023-02-11,2857
2023-02-12,1079
2023-02-13,3636
2023-02-14,8732
2023-02-15,8590
2023-02-16,463
2023-02-17,7793
2023-02-18,9983
2023-02-19,7
2023-02-20,1158
2023-02-21,8528
2023-02-22,7104
2023-02-23,8541
2023-02-24,8859
2023-02-25,13798
2023-03-02,0
2023-03-03,0
2023-03-04,12337
2023-03-05,7
2023-03-06,21
2023-03-07,5
2023-03-08,5817
2023-03-09,3315
2023-03-10,0
2023-03-11,11075
2023-03-12,676
2023-03-13,6104
2023-03-14,38
2023-03-18,11765
2023-03-19,85
2023-03-20,13742
2023-03-21,4523
2023-06-10,0
2023-06-11,539
2023-06-13,2853
2023-06-14,520
2023-06-15,4
2023-06-17,10116
2023-06-19,3452
2023-06-20,1225
2023-06-21,5654
2023-06-22,1945
2023-06-23,7140
2023-06-24,5110
2023-06-25,7561
2023-06-26,5989
2023-06-28,84
2023-06-29,9037
2023-06-30,932
2023-07-01,9972
2023-07-02,9664
2023-07-03,12451
2023-07-04,8722
2023-07-05,7755
2023-07-06,7813
2023-07-07,8440
2023-07-08,1725
2023-07-09,2567
2023-07-10,965
2023-07-11,16584
2023-07-12,1798
2023-07-13,695
2023-07-14,8092
2023-07-15,8420
2023-07-16,56
2023-07-17,8067
2023-07-18,0
2023-07-19,10641
2023-07-20,538
2023-07-21,5806
2023-07-22,827
2023-07-24,10432
2023-07-25,4885
2023-07-26,10452
2023-07-27,790
2023-07-28,8998
2023-07-29,11506
