date,start_time,asin,total_reading_minutes,image,number_of_page_flips
2023-09-22,15:57:40,B000FC1JAI,45,https://images.amazon.com/images/P/B000FC1JAI.jpg,45.0
2025-04-08,00:49:13,B002RI9KAE,44,https://images.amazon.com/images/P/B002RI9KAE.jpg,75.0
2025-04-09,20:44:59,B002RI9KAE,30,https://images.amazon.com/images/P/B002RI9KAE.jpg,30.0
2025-04-11,20:52:43,B002RI9KAE,25,https://images.amazon.com/images/P/B002RI9KAE.jpg,36.0
2025-04-12,20:15:51,B002RI9KAE,30,https://images.amazon.com/images/P/B002RI9KAE.jpg,32.0
2025-04-13,18:38:56,B002RI9KAE,151,https://images.amazon.com/images/P/B002RI9KAE.jpg,147.0
2025-04-14,19:40:59,B002RI9KAE,35,https://images.amazon.com/images/P/B002RI9KAE.jpg,41.0
2025-04-15,20:47:49,B002RI9KAE,78,https://images.amazon.com/images/P/B002RI9KAE.jpg,85.0
2025-04-16,20:40:50,B002RI9KAE,23,https://images.amazon.com/images/P/B002RI9KAE.jpg,26.0
2025-04-17,16:52:54,B002RI9KAE,185,https://images.amazon.com/images/P/B002RI9KAE.jpg,204.0
2025-04-18,20:40:59,B002RI9KAE,33,https://images.amazon.com/images/P/B002RI9KAE.jpg,56.0
2025-04-19,22:19:06,B002RI9KAE,37,https://images.amazon.com/images/P/B002RI9KAE.jpg,35.0
2025-04-21,18:12:19,B002RI9KAE,22,https://images.amazon.com/images/P/B002RI9KAE.jpg,29.0
2025-04-22,20:46:58,B002RI9KAE,44,https://images.amazon.com/images/P/B002RI9KAE.jpg,48.0
2025-04-23,13:57:54,B002RI9KAE,321,https://images.amazon.com/images/P/B002RI9KAE.jpg,389.0
2021-07-31,20:24:12,B002U3CBZM,22,https://images.amazon.com/images/P/B002U3CBZM.jpg,56.0
2021-12-29,17:14:45,B002U3CBZM,211,https://images.amazon.com/images/P/B002U3CBZM.jpg,228.0
2021-12-31,21:28:25,B002U3CBZM,49,https://images.amazon.com/images/P/B002U3CBZM.jpg,52.0
2022-01-01,08:27:28,B002U3CBZM,25,https://images.amazon.com/images/P/B002U3CBZM.jpg,34.0
2022-01-02,17:21:50,B002U3CBZM,69,https://images.amazon.com/images/P/B002U3CBZM.jpg,72.0
2022-01-03,05:18:53,B002U3CBZM,149,https://images.amazon.com/images/P/B002U3CBZM.jpg,170.0
2022-01-04,15:33:07,B002U3CBZM,30,https://images.amazon.com/images/P/B002U3CBZM.jpg,45.0
