total_commits,date,repository_name,repository_url,repository_image
18,2025-05-10,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
9,2025-05-09,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
18,2025-05-08,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
8,2025-04-30,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
5,2025-04-24,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
1,2025-04-23,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
15,2025-04-13,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
1,2025-04-12,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
2,2025-04-11,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
2,2025-04-10,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
6,2025-04-08,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
2,2025-04-06,year-in-data,https://github.com/Aebel-Shajan/year-in-data,https://repository-images.githubusercontent.com/903916918/0f47237c-abc5-45c3-ad78-abcca7206b0a
